time_s,attitude_error_rad,angular_rate_norm,torque_x,torque_y,torque_z
1.1500000000000001,0.20947835749433327,0.5754837067829858,0.4914155696739277,-0.3692968802787998,0.12514770000931258
1.16,0.20380206181033494,0.5701314903746948,0.4950045312653916,-0.3752671316341815,0.1327235071492516
1.17,0.19817932811706923,0.5647187414377173,0.49833023983503666,-0.3810384501969666,0.14017658749821238
1.18,0.1926107789587739,0.5592484176092918,0.5013968299321916,-0.38661250540911934,0.1475059520025786
1.19,0.18709700996027104,0.5537234369441896,0.5042084619719361,-0.39199100367885636,0.1547106726691584
1.2,0.18163859046545633,0.5481466775698086,0.50676932046348,-0.3971756871617208,0.16178988280958279
1.21,0.17623606421339255,0.5425209773609125,0.5090836121858998,-0.4021683325209648,0.16874277719578135
1.22,0.17088995005747704,0.5368491336346312,0.5111555643171689,-0.40697074966984326,0.17556861212909233
1.23,0.16560074273424674,0.5311339028662749,0.5129894225222896,-0.41158478049840375,0.18226670542563297
1.24,0.16036891368972517,0.5253780004264565,0.5145894490062054,-0.41601229758730596,0.1888364363206297
1.25,0.15519491197286334,0.5195841003399565,0.5159599205370201,-0.4202552029111658,0.19527724529445975
1.26,0.15007916520766468,0.513754835066708,0.5171051264448935,-0.42431542653386434,0.20158863382320844
1.27,0.1450220806581105,0.5078927953052256,0.518029366601832,-0.4281949252982023,0.2077701640565891
1.28,0.14002404640315883,0.5020005298187461,0.5187369493874051,-0.4318956815122195,0.21382145842610942
1.29,0.13508543264304468,0.4960805452843015,0.5192321896452619,-0.4354197016344314,0.21974219918638777
1.3,0.13020659316310218,0.4901353061648919,0.5195194066351275,-0.4387690149601598,0.2255321278925522
1.31,0.12538786698766058,0.4841672346048814,0.5196029219847781,-0.44194567231106324,0.23119104481666375
1.32,0.12062958026465512,0.4781787103486952,0.5194870576463089,-0.4449517447298872,0.23671880830610592
1.33,0.11593204843198446,0.47217207068285316,0.5191761338608102,-0.44778932218238093,0.24211533408689434
1.34,0.1112955787301019,0.46614961040133585,0.518674467135379,-0.4504605122682348,0.24738059451484148
1.35,0.10672047314286758,0.4601135817942416,0.5179863682361944,-0.45296743894281183,0.2525146177775029
1.36,0.10220703187173834,0.45406619465965886,0.5171161402011947,-0.4553122412513566,0.2575174870498101
1.37,0.09775555747891072,0.4480096163386452,0.5160680763756894,-0.4574970720772751,0.2623893396062794
1.3800000000000001,0.09336635987585129,0.441945971773176,0.514846458474055,-0.4595240969059911,0.26713036589264116
1.3900000000000001,0.0890397623887064,0.43587734358689856,0.5134555546704609,-0.46139549260579216,0.2717408085597081
1.4000000000000001,0.0847761092070926,0.4298057721885034,0.5118996177213816,-0.46311344622699047,0.2762209614622654
